hotel,is_canceled,lead_time,adr,stays_total_nights,stay_length,booking_changes_cat,days_in_waiting_list_cat,customer_fidelity,lead_time_cat,adr_cat,adults,children,babies,total_guests,arrival_year,arrival_month,arrival_day,arrival_month_index,arrival_ym,market_segment,deposit_type,country,motivation,reserved_room_type,customer_type,agent,company
Resort Hotel,0,72,84.67,6,long,little,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Direct,No Deposit,PRT,work+rest,A,Transient,250,NULL
Resort Hotel,0,72,99.67,6,long,little,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Direct,No Deposit,PRT,work+rest,D,Transient,250,NULL
Resort Hotel,0,127,94.95,7,long,none,none,normal,2-6-months,normal,2,0,0,2,2015,July,1,7,2015-07,Offline TA/TO,No Deposit,GBR,work+rest,D,Contract,115,NULL
Resort Hotel,0,78,63.6,7,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,1,7,2015-07,Offline TA/TO,No Deposit,PRT,work+rest,D,Transient,5,NULL
Resort Hotel,0,48,79.5,7,long,none,none,normal,<1-month,low,2,0,0,2,2015,July,1,7,2015-07,Offline TA/TO,No Deposit,IRL,work+rest,D,Contract,8,NULL
Resort Hotel,1,60,107,7,long,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,PRT,work+rest,E,Transient,240,NULL
Resort Hotel,0,77,94,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,PRT,work+rest,A,Transient,240,NULL
Resort Hotel,0,99,87.3,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,PRT,work+rest,D,Transient,240,NULL
Resort Hotel,0,118,62,14,long,little,none,normal,1-2-months,low,1,0,0,1,2015,July,1,7,2015-07,Direct,No Deposit,NULL,rest,A,Transient,NULL,NULL
Resort Hotel,0,95,63.86,15,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,1,7,2015-07,Offline TA/TO,No Deposit,GBR,rest,D,Transient,241,NULL
Resort Hotel,1,96,108.3,10,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Direct,No Deposit,PRT,rest,E,Transient,NULL,NULL
Resort Hotel,0,69,65.5,6,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,2,7,2015-07,Offline TA/TO,No Deposit,IRL,work+rest,A,Transient,175,NULL
Resort Hotel,1,45,108.8,4,middle,none,none,normal,<1-month,normal,3,0,0,3,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,work+rest,D,Transient,241,NULL
Resort Hotel,1,40,108.8,4,middle,none,none,normal,<1-month,normal,3,0,0,3,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,work+rest,D,Transient,241,NULL
Resort Hotel,0,15,98,4,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,ESP,work+rest,A,Transient,240,NULL
Resort Hotel,0,36,108.8,4,middle,none,none,normal,<1-month,normal,3,0,0,3,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,work+rest,D,Transient,241,NULL
Resort Hotel,1,43,108.8,4,middle,none,none,normal,<1-month,normal,3,0,0,3,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,work+rest,D,Transient,241,NULL
Resort Hotel,0,70,137,5,middle,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,2,7,2015-07,Direct,No Deposit,ROU,work+rest,E,Transient,250,NULL
Resort Hotel,1,45,117.81,5,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,work+rest,G,Transient,241,NULL
Resort Hotel,0,45,79.5,5,middle,none,none,normal,<1-month,low,2,0,0,2,2015,July,2,7,2015-07,Offline TA/TO,No Deposit,IRL,work+rest,D,Contract,8,NULL
Resort Hotel,0,16,123,5,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Direct,No Deposit,ESP,work+rest,F,Transient,NULL,NULL
Resort Hotel,0,70,137,5,middle,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,2,7,2015-07,Direct,No Deposit,ROU,work+rest,E,Transient,250,NULL
Resort Hotel,0,107,110.7,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,work+rest,A,Transient,240,NULL
Resort Hotel,1,47,153,7,long,none,none,normal,<1-month,high,2,2,0,4,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,familiy,G,Transient,240,NULL
Resort Hotel,0,96,58.95,7,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,2,7,2015-07,Offline TA/TO,No Deposit,ESP,work+rest,A,Transient,134,NULL
Resort Hotel,0,113,82.88,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,2,7,2015-07,Offline TA/TO,No Deposit,NOR,work+rest,E,Transient-Party,156,NULL
Resort Hotel,0,90,82.35,7,long,little,none,normal,1-2-months,normal,2,0,0,2,2015,July,2,7,2015-07,Offline TA/TO,No Deposit,GBR,work+rest,A,Contract,243,NULL
Resort Hotel,0,50,119.35,7,long,little,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,IRL,work+rest,E,Transient,241,NULL
Resort Hotel,0,113,67.58,7,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,2,7,2015-07,Offline TA/TO,No Deposit,NOR,work+rest,D,Transient-Party,156,NULL
Resort Hotel,0,93,56.01,11,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,2,7,2015-07,Offline TA/TO,No Deposit,IRL,rest,A,Contract,156,NULL
Resort Hotel,0,76,110.7,14,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,2,7,2015-07,Offline TA/TO,No Deposit,OMN,rest,D,Contract,243,NULL
Resort Hotel,0,3,88.2,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,ESP,work,A,Transient,240,NULL
Resort Hotel,0,1,147,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,ARG,work,H,Transient,240,NULL
Resort Hotel,0,1,107,1,short,none,none,normal,<1-month,normal,2,2,0,4,2015,July,2,7,2015-07,Direct,No Deposit,ESP,familiy,C,Transient,NULL,NULL
Resort Hotel,0,0,147,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Direct,No Deposit,PRT,work,H,Transient,NULL,NULL
Resort Hotel,0,0,117.9,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,0,0,123,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Direct,No Deposit,PRT,work,G,Transient,NULL,NULL
Resort Hotel,0,14,98,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,USA,work,A,Transient,242,NULL
Resort Hotel,0,10,117.81,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,work,G,Transient,241,NULL
Resort Hotel,0,5,135,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,IRL,work,E,Transient,240,NULL
Resort Hotel,0,17,133,3,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Direct,No Deposit,ESP,work,F,Transient,250,NULL
Resort Hotel,0,93,58.95,3,middle,none,none,normal,1-2-months,low,2,0,0,2,2015,July,2,7,2015-07,Offline TA/TO,No Deposit,IRL,work,A,Contract,115,NULL
Resort Hotel,1,3,136.33,3,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,2,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,0,10,153,2,short,none,none,normal,<1-month,high,2,2,0,4,2015,July,3,7,2015-07,Online TA,No Deposit,USA,familiy,G,Transient,240,NULL
Resort Hotel,0,3,110.5,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,ESP,work,A,Transient,240,NULL
Resort Hotel,0,51,97,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,POL,work,D,Transient,242,NULL
Resort Hotel,1,71,110.3,2,short,none,none,normal,1-2-months,normal,3,0,0,3,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,PRT,work,A,Transient,242,NULL
Resort Hotel,1,63,82,2,short,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,1,62,97,2,short,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work,D,Transient,240,NULL
Resort Hotel,1,101,73.8,2,short,none,none,normal,1-2-months,low,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,0,2,91.5,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,PRT,work,A,Transient,3,NULL
Resort Hotel,0,15,114.5,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,ESP,work,A,Transient,240,NULL
Resort Hotel,1,51,110.3,2,short,none,none,normal,<1-month,normal,3,0,0,3,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,242,NULL
Resort Hotel,0,3,90.9,3,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,ESP,work+rest,A,Transient,240,NULL
Resort Hotel,1,48,123,3,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work+rest,E,Transient,240,NULL
Resort Hotel,0,2,122,4,middle,none,none,normal,<1-month,normal,1,0,0,1,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work+rest,A,Transient,240,NULL
Resort Hotel,0,72,110.7,4,middle,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,DEU,work+rest,A,Transient,105,NULL
Resort Hotel,0,81,85.86,8,long,none,none,normal,1-2-months,normal,3,0,0,3,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,PRT,rest,D,Transient,5,NULL
Resort Hotel,0,99,58.95,9,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,FRA,rest,A,Contract,40,NULL
Resort Hotel,1,368,55.68,10,long,none,none,normal,>6-months,low,2,0,0,2,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,PRT,rest,A,Contract,40,NULL
Resort Hotel,0,364,55.68,10,long,none,none,normal,>6-months,low,2,0,0,2,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,GBR,rest,A,Contract,40,NULL
Resort Hotel,1,81,124,10,long,little,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Direct,No Deposit,PRT,rest,A,Transient,250,NULL
Resort Hotel,0,99,111.15,10,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,GBR,rest,E,Contract,115,NULL
Resort Hotel,0,324,134.73,14,long,none,none,normal,>6-months,normal,2,0,0,2,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,GBR,rest,E,Contract,40,NULL
Resort Hotel,0,69,92.45,14,long,little,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,GBR,rest,F,Transient,241,NULL
Resort Hotel,1,79,108.73,21,long,none,none,normal,1-2-months,normal,2,1,0,3,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,PRT,familiy,A,Transient,242,NULL
Resort Hotel,0,12,73.8,1,short,none,none,normal,<1-month,low,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,GBR,work,A,Transient,240,NULL
Resort Hotel,0,9,98,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,0,1,131,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,ESP,work,A,Transient,240,NULL
Resort Hotel,0,21,123,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work,E,Transient,240,NULL
Resort Hotel,0,9,94.71,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,USA,work,C,Transient,241,NULL
Resort Hotel,0,109,123,1,short,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,BEL,work,A,Transient,240,NULL
Resort Hotel,1,109,123,2,short,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,1,72,73.8,2,short,none,none,normal,1-2-months,low,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,1,63,117,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,work+rest,F,Transient,242,NULL
Resort Hotel,0,63,196.54,7,long,none,none,normal,1-2-months,high,3,0,0,3,2015,July,3,7,2015-07,Offline TA/TO,No Deposit,ESP,work+rest,E,Transient,105,NULL
Resort Hotel,0,101,99.3,7,long,none,none,normal,1-2-months,normal,2,1,0,3,2015,July,3,7,2015-07,Online TA,No Deposit,PRT,familiy,D,Transient,240,NULL
Resort Hotel,0,102,90.95,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,3,7,2015-07,Direct,No Deposit,DEU,work+rest,E,Transient,250,NULL
Resort Hotel,0,4,92.67,3,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,4,7,2015-07,Direct,No Deposit,ESP,work+rest,A,Transient,250,NULL
Resort Hotel,0,98,71.55,3,middle,none,none,normal,1-2-months,low,2,0,0,2,2015,July,4,7,2015-07,Offline TA/TO,No Deposit,FRA,work+rest,D,Transient,8,NULL
Resort Hotel,0,92,96.49,6,long,none,none,normal,1-2-months,normal,1,2,0,3,2015,July,4,7,2015-07,Offline TA/TO,No Deposit,FRA,familiy,F,Transient,241,NULL
Resort Hotel,0,95,85.8,6,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,work+rest,A,Transient,240,NULL
Resort Hotel,0,102,96.3,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,work+rest,E,Transient,240,NULL
Resort Hotel,1,26,163,7,long,none,none,normal,<1-month,high,2,2,0,4,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,familiy,H,Transient,240,NULL
Resort Hotel,1,73,172,7,long,none,none,normal,1-2-months,high,3,0,0,3,2015,July,4,7,2015-07,Direct,No Deposit,PRT,work+rest,D,Transient,250,NULL
Resort Hotel,1,102,110.7,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,work+rest,A,Transient,240,NULL
Resort Hotel,0,115,58.95,7,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,4,7,2015-07,Offline TA/TO,No Deposit,PRT,work+rest,A,Transient,134,NULL
Resort Hotel,0,102,73.8,7,long,none,none,normal,1-2-months,low,2,0,1,3,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,familiy,A,Transient,240,NULL
Resort Hotel,0,86,97,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,CHE,work+rest,D,Transient,240,NULL
Resort Hotel,0,78,139,7,long,none,none,normal,1-2-months,normal,2,0,1,3,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,familiy,E,Transient,240,NULL
Resort Hotel,0,52,67.24,7,long,none,none,normal,<1-month,low,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,GBR,work+rest,A,Transient,147,NULL
Resort Hotel,0,29,116.5,8,long,none,none,normal,<1-month,normal,3,0,0,3,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,rest,E,Transient,241,NULL
Resort Hotel,1,101,96.3,8,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,rest,E,Transient,240,NULL
Resort Hotel,0,109,123,8,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,rest,A,Transient,240,NULL
Resort Hotel,0,92,71.55,10,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,4,7,2015-07,Offline TA/TO,No Deposit,GBR,rest,D,Contract,40,NULL
Resort Hotel,0,92,71.55,10,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,4,7,2015-07,Offline TA/TO,No Deposit,PRT,rest,D,Contract,40,NULL
Resort Hotel,0,79,149,10,long,little,none,normal,1-2-months,normal,2,1,0,3,2015,July,4,7,2015-07,Direct,No Deposit,PRT,familiy,D,Transient,250,NULL
Resort Hotel,0,2,163,1,short,little,none,normal,<1-month,high,2,2,0,4,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,familiy,H,Transient,240,NULL
Resort Hotel,0,30,79.5,1,short,none,none,normal,<1-month,low,2,0,0,2,2015,July,4,7,2015-07,Offline TA/TO,No Deposit,PRT,work,D,Contract,8,NULL
Resort Hotel,1,51,105,1,short,none,none,normal,<1-month,normal,1,0,0,1,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,1,36,123,1,short,little,none,normal,<1-month,normal,1,0,0,1,2015,July,4,7,2015-07,Direct,No Deposit,PRT,work,E,Transient,250,NULL
Resort Hotel,1,73,73.8,1,short,none,none,normal,1-2-months,low,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,1,33,113,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,work,D,Transient,240,NULL
Resort Hotel,0,8,123,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,ESP,work,E,Transient,240,NULL
Resort Hotel,0,100,73.8,2,short,none,none,normal,1-2-months,low,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,FRA,work+rest,A,Transient-Party,240,NULL
Resort Hotel,0,1,114.5,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,PRT,work+rest,A,Transient,240,NULL
Resort Hotel,0,100,73.8,2,short,none,none,normal,1-2-months,low,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,FRA,work+rest,A,Transient-Party,240,NULL
Resort Hotel,0,100,73.8,2,short,none,none,normal,1-2-months,low,2,0,0,2,2015,July,4,7,2015-07,Online TA,No Deposit,FRA,work+rest,A,Transient-Party,240,NULL
Resort Hotel,0,9,88.2,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,ESP,weekend,A,Transient,240,NULL
Resort Hotel,1,5,97,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,PRT,weekend,D,Transient,240,NULL
Resort Hotel,0,0,85.1,1,short,little,none,normal,<1-month,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,ESP,weekend,A,Transient,306,NULL
Resort Hotel,0,9,89,1,short,none,none,normal,<1-month,normal,1,0,0,1,2015,July,5,7,2015-07,Online TA,No Deposit,DEU,weekend,A,Transient,184,NULL
Resort Hotel,0,2,80.1,1,short,none,none,normal,<1-month,normal,1,0,0,1,2015,July,5,7,2015-07,Online TA,No Deposit,PRT,weekend,A,Transient,240,NULL
Resort Hotel,0,2,98,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,PRT,weekend,A,Transient,240,NULL
Resort Hotel,0,9,101,1,short,none,none,normal,<1-month,normal,1,0,0,1,2015,July,5,7,2015-07,Online TA,No Deposit,DEU,weekend,A,Transient,184,NULL
Resort Hotel,1,5,97,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,PRT,weekend,D,Transient,240,NULL
Resort Hotel,0,2,167,1,short,none,none,normal,<1-month,high,2,0,0,2,2015,July,5,7,2015-07,Direct,No Deposit,PRT,weekend,G,Transient,NULL,NULL
Resort Hotel,0,44,225,2,short,little,none,normal,<1-month,high,3,0,0,3,2015,July,5,7,2015-07,Online TA,No Deposit,PRT,weekend,G,Transient,240,NULL
Resort Hotel,0,80,97,2,short,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,FRA,weekend,D,Transient,240,NULL
Resort Hotel,0,97,87.3,4,middle,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,ESP,work+rest,D,Transient,240,NULL
Resort Hotel,0,109,85.59,5,middle,none,none,normal,1-2-months,normal,2,1,0,3,2015,July,5,7,2015-07,Offline TA/TO,No Deposit,CN,familiy,A,Transient,241,NULL
Resort Hotel,0,30,123,5,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,ESP,work+rest,E,Transient,240,NULL
Resort Hotel,0,64,107,5,middle,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,PRT,work+rest,E,Transient,240,NULL
Resort Hotel,0,39,163,6,long,none,none,normal,<1-month,high,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,ESP,work+rest,H,Transient,240,NULL
Resort Hotel,0,90,82,6,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,PRT,work+rest,A,Transient,240,NULL
Resort Hotel,1,34,163,6,long,none,none,normal,<1-month,high,2,2,0,4,2015,July,5,7,2015-07,Online TA,No Deposit,PRT,familiy,H,Transient,240,NULL
Resort Hotel,1,93,105.5,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,5,7,2015-07,Offline TA/TO,No Deposit,PRT,work+rest,D,Transient,15,NULL
Resort Hotel,0,97,164.2,7,long,little,none,normal,1-2-months,high,2,2,0,4,2015,July,5,7,2015-07,Direct,No Deposit,PRT,familiy,C,Transient,250,NULL
Resort Hotel,0,29,97.29,7,long,none,none,normal,<1-month,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,IRL,work+rest,F,Transient,241,NULL
Resort Hotel,1,101,114,7,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,5,7,2015-07,Online TA,No Deposit,PRT,work+rest,A,Transient,240,NULL
Resort Hotel,0,27,98.4,7,long,none,none,normal,<1-month,normal,2,0,0,2,2015,July,5,7,2015-07,Offline TA/TO,No Deposit,ESP,work+rest,E,Transient,175,NULL
Resort Hotel,0,8,175,9,long,little,none,normal,<1-month,high,2,2,0,4,2015,July,5,7,2015-07,Online TA,No Deposit,CHE,package,H,Transient,240,NULL
Resort Hotel,0,82,63.6,10,long,none,none,normal,1-2-months,low,2,0,0,2,2015,July,5,7,2015-07,Offline TA/TO,No Deposit,PRT,rest,D,Transient,5,NULL
Resort Hotel,0,94,124.45,10,long,little,none,normal,1-2-months,normal,3,0,0,3,2015,July,5,7,2015-07,Direct,No Deposit,PRT,rest,D,Transient,NULL,NULL
Resort Hotel,0,110,110.7,11,long,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,5,7,2015-07,Offline TA/TO,No Deposit,GBR,rest,D,Contract,40,NULL
